timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730364513946,146,Open URL-2,200,,Scenario 3 - Add to Cart 3-4,text,true,,4973,670,1,2,https://petstore.octoperf.com/actions/Catalog.action,136,0,0
1730364514069,127,Select Product_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-7,,true,,3826,712,1,1,null,0,1,0
1730364514070,127,Select Product-06,200,,Scenario 2- View Details 2-7,text,true,,3826,712,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-02,127,0,0
1730364514197,130,Select Item_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-7,,true,,3815,701,2,2,null,0,1,0
1730364514198,130,Select item-07,200,,Scenario 2- View Details 2-7,text,true,,3815,701,2,2,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-3,129,0,0
1730364514266,648,Open URL_2,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario 2- View Details 2-8,,true,,10637,1239,1,1,null,0,2,384
1730364514267,507,Open URL-02,200,,Scenario 2- View Details 2-8,text,true,,5664,593,1,1,https://petstore.octoperf.com/actions/Catalog.action,507,0,384
1730364514775,141,Open URL-03,200,,Scenario 2- View Details 2-8,text,true,,4973,646,1,1,https://petstore.octoperf.com/actions/Catalog.action,140,0,0
1730364514916,122,Select Category_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-8,,true,,4212,676,1,1,null,0,1,0
1730364514917,122,Select Category-04,200,,Scenario 2- View Details 2-8,text,true,,4212,676,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,122,0,0
1730364515039,127,Select Product_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-8,,true,,4112,712,1,1,null,0,1,0
1730364515039,127,Select Product-06,200,,Scenario 2- View Details 2-8,text,true,,4112,712,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=K9-BD-01,127,0,0
1730364515167,139,Select Item_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-8,,true,,3802,701,2,2,null,0,0,0
1730364515167,139,Select item-07,200,,Scenario 2- View Details 2-8,text,true,,3802,701,2,2,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-6,139,0,0
1730364515266,641,Open URL_2,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario 2- View Details 2-9,,true,,10637,1239,1,2,null,0,2,390
1730364515267,513,Open URL-02,200,,Scenario 2- View Details 2-9,text,true,,5664,593,1,2,https://petstore.octoperf.com/actions/Catalog.action,512,0,390
1730364515781,128,Open URL-03,200,,Scenario 2- View Details 2-9,text,true,,4973,646,1,2,https://petstore.octoperf.com/actions/Catalog.action,128,0,0
1730364515386,630,Open URL_3,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario 3 - Add to Cart 3-5,,true,,10637,1287,1,2,null,0,1,380
1730364515386,503,Open URL-1,200,,Scenario 3 - Add to Cart 3-5,text,true,,5664,617,1,2,https://petstore.octoperf.com/actions/Catalog.action,503,0,380
1730364515890,127,Open URL-2,200,,Scenario 3 - Add to Cart 3-5,text,true,,4973,670,1,2,https://petstore.octoperf.com/actions/Catalog.action,126,0,0
1730364515910,127,Select Category_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-9,,true,,3666,677,1,1,null,0,1,0
1730364515910,127,Select Category-04,200,,Scenario 2- View Details 2-9,text,true,,3666,677,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,127,0,0
1730364516038,143,Select Product_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-9,,true,,3837,712,1,1,null,0,0,0
1730364516038,143,Select Product-06,200,,Scenario 2- View Details 2-9,text,true,,3837,712,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=AV-CB-01,143,0,0
1730364516181,135,Select Item_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-9,,true,,3827,702,2,2,null,0,1,0
1730364516182,135,Select item-07,200,,Scenario 2- View Details 2-9,text,true,,3827,702,2,2,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-18,135,0,0
1730364516266,709,Open URL_2,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario 2- View Details 2-10,,true,,10637,1239,1,1,null,0,1,429
1730364516267,565,Open URL-02,200,,Scenario 2- View Details 2-10,text,true,,5664,593,1,1,https://petstore.octoperf.com/actions/Catalog.action,564,0,429
1730364516832,144,Open URL-03,200,,Scenario 2- View Details 2-10,text,true,,4973,646,1,1,https://petstore.octoperf.com/actions/Catalog.action,143,0,0
1730364516976,139,Select Category_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-10,,true,,3662,676,1,1,null,0,1,0
1730364516977,139,Select Category-04,200,,Scenario 2- View Details 2-10,text,true,,3662,676,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,139,0,0
1730364517116,148,Select Product_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-10,,true,,4106,713,1,1,null,0,1,0
1730364517117,148,Select Product-06,200,,Scenario 2- View Details 2-10,text,true,,4106,713,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FL-DSH-01,147,0,0
1730364517265,141,Select Item_2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2- View Details 2-10,,true,,3810,702,1,1,null,0,0,0
1730364517265,141,Select item-07,200,,Scenario 2- View Details 2-10,text,true,,3810,702,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-15,141,0,0
